time, Acceleration x, Acceleration y, acceleration z, distance
9185,-0.14,-0.62,9.42,27.56
9201,-0.14,-0.63,9.44,27.46
9218,-0.15,-0.62,9.43,27.49
9235,-0.15,-0.64,9.42,27.56
9251,-0.15,-0.66,9.45,27.46
9268,-0.14,-0.64,9.44,27.56
9286,-0.14,-0.60,9.41,27.56
9302,-0.14,-0.65,9.48,27.46
9318,-0.13,-0.62,9.42,27.56
9336,-0.13,-0.62,9.43,27.46
9352,-0.13,-0.62,9.44,27.46
9369,-0.15,-0.60,9.44,27.56
9387,-0.15,-0.63,9.43,27.46
9402,-0.14,-0.61,9.44,27.46
9419,-0.14,-0.63,9.44,27.46
9437,-0.14,-0.67,9.42,27.46
9452,-0.14,-0.65,9.42,27.56
9469,-0.16,-0.63,9.42,27.46
9487,-0.15,-0.64,9.44,27.44
9502,-0.16,-0.63,9.43,27.56
9520,-0.14,-0.62,9.45,27.46
9537,-0.14,-0.62,9.43,27.55
9552,-0.13,-0.60,9.43,27.56
9570,-0.15,-0.63,9.47,27.44
9587,-0.13,-0.62,9.41,27.56
9604,-0.15,-0.66,9.41,27.56
9620,-0.14,-0.64,9.45,27.46
9637,-0.15,-0.64,9.41,27.56
9654,-0.13,-0.63,9.44,27.46
9670,-0.15,-0.65,9.43,27.56
9689,-0.13,-0.65,9.43,27.56
9704,-0.12,-0.64,9.46,27.46
9720,-0.14,-0.64,9.45,27.56
9739,-0.15,-0.62,9.43,27.46
9754,-0.15,-0.62,9.46,27.46
9772,-0.15,-0.63,9.44,27.55
9789,-0.16,-0.64,9.43,27.46
9804,-0.13,-0.62,9.46,27.46
9822,-0.15,-0.61,9.43,27.46
9839,-0.15,-0.63,9.43,27.46
9854,-0.13,-0.66,9.44,27.56
9872,-0.14,-0.65,9.47,27.46
9889,-0.15,-0.63,9.42,27.44
9905,-0.13,-0.63,9.44,27.56
9922,-0.15,-0.62,9.46,27.44
9939,-0.15,-0.62,9.42,27.56
9955,-0.12,-0.63,9.46,27.56
9972,-0.13,-0.65,9.42,27.46
9990,-0.15,-0.64,9.42,27.56
10006,-0.14,-0.65,9.44,27.56
10022,-0.15,-0.65,9.45,27.56
10041,-0.15,-0.61,9.42,27.56
10056,-0.15,-0.63,9.45,27.46
10073,-0.16,-0.65,9.45,27.56
10091,-0.14,-0.64,9.43,27.46
10106,-0.15,-0.63,9.44,27.44
10124,-0.15,-0.64,9.46,27.56
10141,-0.12,-0.62,9.40,27.46
10157,-0.15,-0.66,9.43,27.44
10174,-0.16,-0.63,9.45,27.55
10191,-0.14,-0.64,9.43,27.44
10207,-0.15,-0.62,9.47,27.56
10224,-0.16,-0.62,9.40,27.46
10242,-0.15,-0.62,9.42,27.44
10257,-0.15,-0.66,9.45,27.56
10274,-0.16,-0.66,9.43,27.46
10292,-0.15,-0.61,9.42,27.56
10308,-0.14,-0.62,9.44,27.55
10324,-0.16,-0.65,9.44,27.46
10342,-0.14,-0.62,9.42,27.55
10358,-0.15,-0.62,9.46,27.44
10375,-0.12,-0.63,9.46,27.44
10393,-0.15,-0.64,9.41,27.55
10408,-0.14,-0.62,9.47,27.46
10425,-0.15,-0.62,9.45,27.56
10443,-0.15,-0.64,9.42,27.56
10459,-0.16,-0.62,9.43,27.46
